,Date,Open,High,Low,Close,Adj Close,Volume,ATR (7 Days),RSI (7 Days),RSI (14 Days),EMA (50 Days),EMA (100 Days),SMA (50 Days),SMA (100 Days),Log Return,Percent Return,Cumulative Log Return,Cumulative Percent Return
0,2014-01-02,54.83000183105469,55.220001220703125,54.189998626708984,54.709999084472656,54.65201187133789,43195500,0.0,100.0,100.0,54.709999084472656,54.709999084472656,54.709999084472656,54.709999084472656,,,,
1,2014-01-03,55.02000045776367,55.650001525878906,54.529998779296875,54.560001373291016,54.502174377441406,38246200,0.0,0.0,0.0,54.70411682128906,54.707028832766085,54.635000228881836,54.635000228881836,-0.002745452636051671,-0.002741687327576847,-0.002745452636051671,-0.002741687327576847
2,2014-01-06,54.41999816894531,57.2599983215332,54.04999923706055,57.20000076293945,57.139373779296875,68852600,0.0,95.35610369844889,94.98850638719775,54.80199462292241,54.756394613561596,55.49000040690104,55.49000040690104,0.04725287301835826,0.04838708436948114,0.04450742038230659,0.04564539704190429
3,2014-01-07,57.70000076293945,58.54999923706055,57.220001220703125,57.91999816894531,57.85860824584961,77207400,0.0,96.4371034704008,96.0816674208904,54.92426927178605,54.81904022851968,56.09749984741211,56.09749984741211,0.012508804740092626,0.012587367069972988,0.05701622512239921,0.05823276411187728
4,2014-01-08,57.599998474121094,58.40999984741211,57.22999954223633,58.22999954223633,58.16828155517578,56682400,0.0,96.81009603386907,96.44157586941562,55.053905752980185,54.88658397730615,56.523999786376955,56.523999786376955,0.005337961523778395,0.005352233824089225,0.06235418664617761,0.0635849979359665
5,2014-01-09,58.650001525878906,58.959999084472656,56.650001525878906,57.220001220703125,57.15935516357422,92253300,0.0,69.2527308878987,72.93585631909963,55.138850673283045,54.93279025935362,56.64000002543131,56.64000002543131,-0.017497169032257166,-0.01734498247420757,0.04485701761392044,0.04624001546175893
6,2014-01-10,57.130001068115234,58.29999923706055,57.060001373291016,57.939998626708984,57.87858963012695,42449500,1.6342855181012834,75.13848044676917,77.20171441656012,55.24869961263308,54.992338939895305,56.825714111328125,56.825714111328125,0.012504459683784962,0.012582967330405204,0.0573614772977054,0.058822982792164136
7,2014-01-13,57.90999984741211,58.25,55.380001068115234,55.90999984741211,55.85074234008789,63010900,1.810816005784638,46.10681349853884,52.21314102406859,55.27463295517344,55.010510443014454,56.71124982833862,56.71124982833862,-0.03566471632986949,-0.03503622415277541,0.02169676096783591,0.023786758639388728
8,2014-01-14,56.459999084472656,57.779998779296875,56.099998474121094,57.7400016784668,57.678802490234375,37503600,1.819270709513228,61.678983157510885,63.63903819708072,55.371314081577104,55.064559774409545,56.825555589463974,56.825555589463974,0.03220695099479833,0.03273120794221196,0.05390371196263424,0.05651796658160069
9,2014-01-15,57.97999954223633,58.56999969482422,57.27000045776367,57.599998474121094,57.53894805908203,33663400,1.7450890705914162,60.12828482128539,62.40960650193306,55.458713469520006,55.11476648133453,56.90299987792969,56.90299987792969,-0.00242766209329045,-0.0024247177048128954,0.051476049869343794,0.05409324887678779
